Subject,Motion,Direction,Coupling,Type,Gain
11,3,1,6,1,0.99
12,3,1,6,1,1.48
1,3,1,7,1,1.55
2,3,1,7,1,1.46
3,3,1,7,1,0
4,3,1,7,1,1.72
5,3,1,7,1,0
6,3,1,7,1,0.88
7,3,1,7,1,1.41
8,3,1,7,1,0.45
9,3,1,7,1,0.76
10,3,1,7,1,0.97
11,3,1,7,1,1.12
12,3,1,7,1,1.08
1,1,2,1,0,0.89
2,1,2,1,0,0
3,1,2,1,0,0
4,1,2,1,0,0.63
5,1,2,1,0,0
6,1,2,1,0,0.85
7,1,2,1,0,0.81
8,1,2,1,0,-0.00999999999999979
9,1,2,1,0,0.6
10,1,2,1,0,0.69
11,1,2,1,0,0.0499999999999998
12,1,2,1,0,0.37
1,1,2,2,0,1.01
2,1,2,2,0,0
3,1,2,2,0,0
4,1,2,2,0,0.74
5,1,2,2,0,0
6,1,2,2,0,0.69
7,1,2,2,0,0.69
8,1,2,2,0,-0.58
9,1,2,2,0,0.52
10,1,2,2,0,0.33
11,1,2,2,0,-0.71
12,1,2,2,0,-0.2
1,1,2,3,0,0.63
2,1,2,3,0,0
3,1,2,3,0,0
4,1,2,3,0,0.53
5,1,2,3,0,0
6,1,2,3,0,0.59
7,1,2,3,0,0.65
8,1,2,3,0,-0.22
9,1,2,3,0,0.39
10,1,2,3,0,0.52
11,1,2,3,0,-0.62
12,1,2,3,0,0.04
1,1,2,5,1,1.12
2,1,2,5,1,0
3,1,2,5,1,0
4,1,2,5,1,0.85
5,1,2,5,1,0
6,1,2,5,1,1.05
7,1,2,5,1,0.6
8,1,2,5,1,0.39
9,1,2,5,1,0.92
10,1,2,5,1,0.48
11,1,2,5,1,0.74
12,1,2,5,1,0.84
1,1,2,6,1,1.08
2,1,2,6,1,0
3,1,2,6,1,0
4,1,2,6,1,0.74
5,1,2,6,1,0
6,1,2,6,1,0.96
7,1,2,6,1,1.28
8,1,2,6,1,1.11
9,1,2,6,1,1.2
10,1,2,6,1,0.99
11,1,2,6,1,1.31
12,1,2,6,1,0.96
1,1,2,7,1,1.26
2,1,2,7,1,1.51
3,1,2,7,1,0
4,1,2,7,1,1.18
5,1,2,7,1,0
6,1,2,7,1,1.29
7,1,2,7,1,1.41
8,1,2,7,1,0
9,1,2,7,1,1.69
10,1,2,7,1,0.66
11,1,2,7,1,0.4
12,1,2,7,1,0.95
1,2,2,1,0,0.98
2,2,2,1,0,0.86
3,2,2,1,0,0
4,2,2,1,0,1.49
5,2,2,1,0,0
6,2,2,1,0,0.89
7,2,2,1,0,0.75
8,2,2,1,0,0.52
